arabic,english
عالي,Aali
عالية,Aaliyah
آمال,Aamaal
آمنة,Aamina
آمنة,Aaminah
عامر,'Aamir
عامر,Aamir 1
آمر,Aamir 2
عبّاس,'Abbas
عبّاس,Abbas
عبد العزيز,Abd al-Aziz
عبد الحميد,Abd al-Hamid
عبد الحقّ,Abd al-Haqq
عبد الإله,Abd al-Ilah
عبد القادر,Abd al-Kader
عبد الكريم,Abd al-Karim
عبد الله,Abd Allah
عبد اللطيف,Abd al-Latif
عبد المجيد,Abd al-Majid
عبد الملك,Abd al-Malik
عبد القادر,Abd al-Qadir
عبد الرحيم,Abd al-Rahim
عبد الرحمٰن,Abd al-Rahman
عبد الرشيد,Abd al-Rashid
عبد السلام,Abd al-Salam
عبد الولي,Abd al-Wali
عبد الرحيم,Abd ar-Rahim
عبد الرحمٰن,Abd ar-Rahman
عبد الرشيد,Abd ar-Rashid
عبد السلام,Abd as-Salam
عبد ال,Abdel
عبد العزيز,Abdelaziz
عبد الحقّ,Abdelhak
عبد الحميد,Abdelhamid
عبد القادر,Abdelkader
عبد الله,Abdellah
عبد اللطيف,Abdellatif
عبد المجيد,Abdelmajid
عبد الرحيم,Abderrahim
عبد الرحمٰن,Abderrahmane
عبد السلام,Abdeslam
عبد السلام,Abdessalam
عبده,Abdo
عبده,Abduh
عبد ال,Abdul
عبد العزيز,Abdul Aziz
عبد العزيز,Abdulaziz
عبد الحميد,Abdul Hamid
عبد الحقّ,Abdul Haq
عبد الله,Abdulla
عبد الله,Abdullah
عبد الرحمٰن,Abdul Rahman
عبد الرحيم,Abdur Rahim
عبد الرحمٰن,Abdur Rahman
عبد الرشيد,Abdur Rashid
عبد السلام,Abdus Salam
عبير,Abeer
عبير,Abir
عبلة,'Abla
عبلة,Abla
أبو,Abo
أبرار,Abrar
أبو,Abu
أبو الفضل,Abu al-Fadl
أبو بكر,Abu Bakr
أبو الفضل,Abul-Fazl
آدم,Adam
عادل,Adel
عادل,Adil
عادلة,Adila
عدنان,Adnan
عفاف,Afaf
عفّان,Affan
عفيف,Afif
عفيفة,Afifa
عفيفة,Afifah
أفنان,Afnan
عفرا,Afra 2
أفضل,Afzal
أغلب,Aghlab
أحمد,Ahmad
أحمد,Ahmed
أحسن,Ahsan
عائشة,Aïcha
عائدة,Aida
أيمن,Aiman 2
عائشة,'Aisha
عائشة,A'isha
عائشة,Aisha
عائشة,Aishah
أكبر,Akbar
عاكف,Akif
عقيلة,Akilah
أكمل,Akmal
أكرم,Akram
علاء,Ala 1
علاء,Alaa
علاء الدين,Ala ad-Din
علاء الدين,Ala al-Din
الآمر,Al-Amir
الحسن,Al-Hasan
عليّ,'Ali
عليّ,Ali 1
علياء,Alia 1
عليم,Alim
عليّة,Aliya 1
عالية,Aliyah 1
عليّة,Aliyya
عليّة,Aliyyah
ألماس,Almas
علياء,Alya 1
أمل,Amal 1
أماني,Amani
أماني,Amany
عمّار,Amar 2
آمال,Amel 2
أمين,Amin
آمنة,Amina 1
أمينة,Amina 2
آمنة,Aminah
أمين,Amine 1
أمير,Amir 1
أميرة,Amira 1
أميرة,Amirah
أمجد,Amjad
عمّار,'Ammar
عمّار,Ammar
آمنة,Amna
عمرو,Amr
أنس,Anas
أنس,Anass
أنيس,Anis
أنيسة,Anisa
أنصار,Ansar
أنور,Anwar
أنور,Anwer
عقيل,Aqeel
عقيل,Aqil
عقيلة,Aqila
أريج,Areej
عارف,Arif
أريج,Arij
أروى,Arwa
أسعد,As'ad
أسد,Asad
أسد الله,Asadullah
أصغر,Asghar
أشفاق,Ashfaq
أشرف,Ashraf
أشراقات,Ashraqat
آصف,Asif
عاصم,Asim 1
آسيا,Asiya
أسماء,Asma
أسماء,Asmaa
أسرى,Asra
آسيا,Assia
عطاء,Ata 2
عطا الله,Atallah
عطا الله,Ataullah
عاطف,Atef
عاطف,Atif
عاطفة,Atifa
عطيّة,Atiya
عطوف,Atuf
آية,Aya 2
آية,Ayah
عائدة,Ayda
عائشة,Ayesha
عائشة,Ayishah
أيمن,Ayman
أيّوب,Ayoub
عائشة,Aysha
أيّوب,Ayyub
أزهر,Azhar
عزيز,'Aziz
عزيز,Aziz
عزيزة,Aziza
عذراء,Azra
بدر,Badr
بدرية,Badriya
بدرية,Badriyah
بهاء,Baha
بهيجة,Bahiga
بهيج,Bahij
بهيجة,Bahija
بهيّة,Bahiyya
باقي,Baki
بكر,Bakr
بلقيس,Balqis
بندر,Bandar
باقي,Baqi
باقر,Baqir
براك,Barak 2
بركات,Barakat
بشار,Bashar
بشير,Basheer
بشير,Bashir
باسل,Basil 2
باسم,Basim
باسمة,Basima
بصير,Basir
بصيرة,Basira
باسط,Basit
بسمة,Basma
بسّام,Bassam
باسم,Bassem
بتول,Batul
بلال,Bilal
بنيامين,Binyamin
بطرس,Botros
بشرى,Bouchra
بولس,Boulos
بطرس,Boutros
براهيم,Brahim
بدور,Budur
بولس,Bulus
برهان,Burhan
برهان الدين,Burhan ad-Din
برهان الدين,Burhan al-Din
برهان الدين,Burhanuddin
بشرى,Bushra
بطرس,Butrus
دلال,Dalal
داليا,Dalia 1
دانا,Dana 4
دانية,Dania 2
دانيال,Danial
دانية,Daniya
دانية,Daniyah
دانيال,Daniyal
دانية,Danya 2
داوود,Daoud
داوود,Daud
داوود,Dawood
داوود,Dawud
ديمة,Dema
ديمة,Dima 1
دينا,Dina 3
ضياء,Diya 2
جميلة,Djamila
دعاء,Doaa
إدريس,Driss
دعاء,Dua
دعاء,Duaa
ضحى,Duha
إبراهيم,Ebrahim
عيسى,Eesa
إيهاب,Ehab
عماد,Emad
إيمان,Eman
عصام,Esam
إسلام,Eslam
إسماعيل,Esmail
عصمت,Esmat
إسراء,Esraa
عيسى,Essa
عصام,Essam
فادي,Fadi
فادية,Fadia
فاضل,Fadil
فاضلة,Fadila
فضل,Fadl
فهد,Fahd
فهم,Fahim
فهمة,Fahima
فيروز,Fairuz
,Fairuza
فيصل,Faisal
فائز,Faiz 1
فائزة,Faiza
فيصل,Faizel
فجر,Fajr
فخريّ,Fakhri
فخريّة,Fakhriyya
فرج,Farag
فرح,Farah
فرج,Faraj
فريد,Fareed
فريحة,Fareeha
فرحان,Farhan
فرحانة,Farhana
فريد,Farid
فريدة,Farida
فريحة,Fariha
فارس,Faris
فاروق,Farooq
فاروق,Farouk
فرح,Farrah
فاروق,Faruk
فاروق,Faruq
فاطمة,Fatema
فاطمة,Fatemah
فتحيّ,Fathi
فتحيّة,Fathiyya
فاتح,Fatih
فاتحة,Fatiha
فاطمة,Fatima
فاطمة الزهراء,Fatima az-Zahra
فاطمة,Fatimah
فاطمة الزهراء,Fatima Zahra
فاتن,Fatin 1
فطين,Fatin 2
فاطمة,Fatma
فوزيّ,Fawzi
فوزيّة,Fawzia
فوزيّة,Fawziya
فوزيّة,Fawziyya
فائز,Fayez
فائز,Fayiz
فيروز,Fayruz
فيصل,Faysal
فائزة,Fayza
فضل,Fazl
فراس,Feras
فضّة,Fidda
فهر,Fihr
فكريّ,Fikri
فكريّة,Fikriyya
فراس,Firas
فردوس,Firdaus
فضّة,Fizza
فؤاد,Fouad
فوزيّة,Fouzia
فؤاد,Fuad
فرقان,Furqan
جابر,Gabir
جبر,Gabr
جعفر,Gafar
جلال,Galal
جليلة,Galila
جمال,Gamal
جميل,Gamil
جميلة,Gamila
جواهر,Gawahir
جودت,Gawdat
جاذبيّة,Gazbia
جاذبيّة,Gazbiyya
غادة,Ghada
غدير,Ghadir
غالب,Ghalib
غالية,Ghaliya
غسّان,Ghassan
غيث,Ghayth
غفران,Ghufran
غلام,Ghulam
جودة,Guda
حامد,Haamid
حبيب,Habib
حبيبة,Habiba
حبيب الله,Habibullah
هادي,Hadi
هديّة,Hadia 1
هادية,Hadia 2
هديل,Hadil
هديّة,Hadiya
هديّة,Hadiyya
هديّة,Hadya
حفيظ,Hafeez
حافظ,Hafez
حافظ,Hafiz
حفصة,Hafsa
حفصة,Hafsah
حفصة,Hafza
هاجر,Hagir
حيدر,Haidar
حيدر,Haider
هيفاء,Haifa
هاجر,Hajar
حاجي,Haji
حكيم,Hakeem
حكيم,Hakim
هالة,Hala
حليم,Halim
حليمة,Halima
حليمة,Halimah
حامد,Hamed
حميد,Hameed
حميد,Hamid 1
حامد,Hamid 2
حميدة,Hamida
حميدة,Hamidah
حميد الله,Hamidullah
حمزة,Hamza
هناء,Hana 1
هناء,Hanaa
حنان,Hanan 2
حنان,Hanane
حنيف,Haneef
هانئ,Hani
هنيّة,Hania 2
حنيف,Hanif
حنيفة,Hanifa
هنيّة,Haniya
هنيّة,Haniyah
هنيّة,Haniyya
حنّة,Hanna 1
حنّة,Hannah
هانئ,Hany
حارث,Haris 1
حارث,Harith
هارون,Haroun
هارون,Harun
حسن,Hasan
حسيب,Haseeb
هاشم,Hashim
حسيب,Hasib
حاسم,Hasim
حسناء,Hasna
حسن,Hassan
حاتم,Hatim
حواء,Hawa
هيا,Haya
حياة,Hayat
حيدر,Hayder
هيفاء,Hayfa
هيثم,Haytham
حازم,Hazem
حازم,Hazim
هبة,Heba
هادي,Hédi 2
هند,Hend
هشام,Hesham
هبة,Hiba
هشام,Hicham
هداية,Hidayat
حكمة,Hikmat
هلال,Hilal
هند,Hind
هشام,Hisham
هدى,Hoda
هدى,Hooda
حسام,Hosam
حسني,Hosni
حسام,Hossam
هدى,Houda
حوريّة,Houria
حسام,Houssam
هدى,Huda
حميراء,Humaira
حميراء,Humayra
حوريّة,Huriya
حوريّة,Huriyyah
حسين,Husain
حسام,Husam
حسين,Husayn
حسنى,Husna
حسني,Husni
حسنية,Husniya
حسين,Hussain
حسين,Hussein
إبراهيم,Ibraheem
إبراهيم,Ibrahim
ابتهاج,Ibtihaj
ابتسام,Ibtisam
إدريس,Idris 1
إدريس,Idriss
إيهاب,Ihab
إحسان,Ihsan
إكرام,Ikraam
إكرام,Ikram
إلهام,Ilham
إلياس,Ilyas
إلياس,Ilyes
إيمان,Imaan
عماد,Imad
إمام,Imam
إيمان,Iman
إيمان,Imane
إيمان,Imen
عمران,Imran
امتياز,Imtiaz
امتياز,Imtiyaz
إنعام,In'am
إنعام,Inam
إيناس,Inas
عناية,Inaya
عناية الله,Inayatullah
إقبال,Iqbal
عرفان,Irfan
عيسى,Isa 1
عصام,'Isam
عصام,Isam
إشفاق,Ishfaq
إسكندر,Iskandar
إسلام,Islam
إسماعيل,Ismaeel
إسماعيل,Isma'il
إسماعيل,Ismail
عصمت,'Ismat
عصمت,Ismat
إسراء,Isra
إسراء,Israa
عيسى,Issa
اعتدال,Itidal
اعتماد,Itimad
ازدهار,Izdihar
عزّ الدين,Izz ad-Din
عزّ الدين,Izz al-Din
عزّ الدين,Izz ud-Din
جبّار,Jabbar
جابر,Jabir
جبر,Jabr
جبريل,Jabril
جاد,Jad
جعفر,Jafar
جعفر,Jaffar
جعفر,Jaffer
جاهد,Jahid
جلال,Jalal
جلال الدين,Jalal ad-Din
جليل,Jalil
جليلة,Jalila
جمال,Jamaal
جمال,Jamal
جمال الدين,Jamal ad-Din
