arabic,english
داغا,Daga
فيلالون,Villalon
ديغو,Dago
بومايا,Bumaya
داجو,Dagu
زخريا,Zakharia
داجر,Dagr
نامبا,Nampa
هارادين,Haradin
سيمكو,Simko
جـونـي,Johnny
سيبتموس,Septimus
دوليستشنير,Dulischner
فولدا,Fulda
غوتين,Goten
مكيري,Mekiri
ارتشوليتا,Archuleta
ريكمان,Rickman
افادا,Avada
دانديكار,Dandekar
فالو,Vallo
فالي,Valli
لودمان,Ludmann
فالي,Valle
فانيلا,Valla
سيداكا,Sedaka
فيكرانت,Vikrant
شيمسكي,Schiemsky
هيكوني,Hikone
تساكيري,Tsakiri
فالي,Vally
لاريجاني,Larijani
كرايس,Kreiss
لاجواي,Lajoie
مورتن,Morten
مورتام,Mortem
ساكا,Saca
ماكويرا,Maquiera
برونك,Pronk
ماكامباني,Macampagne
بيرغامون,Pergamon
ساشي,Saci
نيانزالي,Nyanzale
مييرا,Miera
مالينشينكو,Malenchenko
لامجاف,Lamjav
بينكرتون,Pinkerton
ماليني,Malinee
غونتيريو,Gunterio
شوكن,Shocken
نوني,Nonnie
روكوالاغا,Rokoalaga
باسيفيرتا,Paasivirta
شاكي,Shockey
باسانيو,Bassanio
غورمان,Gorman
دياي,Diaye
سيناغوغو,Cynagugu
ديسكانت,Diskant
كرساني,Karsani
بازارا,Bazara
كوسجـا,Qosja
سيحان,Seyhan
هاميلتون,Hamilton
فريدلي,Fridley
ستاينواي,Steinway
روشايلو,Rushaylo
كوبريفا,Kopriva
الكلاج,Alkalaj
كالوميه,Kalomeh
سوسمان,Sussman
بارمالات,Parmalat
اركاديليفيا,Arkadelphia
فيستا,Vesta
باسيشنيك,Pasichnyk
كليتيمنيسترا,Clytemnestra
هاينس,Heines
هاينر,Heiner
باندير,Bandier
فيلوسيا,Felucia
روجينسكي,Ruzinski
شوامينتال,Schwammenthal
تاسبايكا,Tasbaika
لوكواندا,Loquanda
كيلور,Keillor
سوكولنيكي,Sokolniki
ماداتي,Madete
فيلمون,Philimon
شوسل,Schüssel
برهو,Perho
هارفـي,Harvey
مويز,Muizz
هينشي,Henchy
اديجوون,Adejuwon
هارفل,Harvel
دافينجتون,Davington
غويوليو,Gyuyulyu
بابكين,Pupkin
دوفي,Duvey
فيرنور,Vernor
ليلاني,Leilani
ميسراكي,Misraki
فيرنون,Vernon
اكيتشي,Akechi
بوريسكو,Porescu
برامارد,Bramard
زينولا,Zenola
زيرينوفسكي,Zhirinovsky
باروا,Barwa
ديوتشلاند,Deutschland
غريغسون,Gregson
مينا,Miina
هوكيلاو,Hukilau
سيندونا,Sindona
ستنتز,Stentz
نزارباييف,Nazarbaev
ميرتين,Mertin
ستروبل,Strobl
ليزارد,Lessard
كارونغا,Karonga
دوبير,Dolbear
بوسون,Bosson
لافياجي,Lafiaji
ستيفل,Stiefel
سوغاورا,Sugawara
ميموني,Mimouni
تريدلو,Treadlow
لافييت,Laviolette
بوسو,Bossou
اكيوريتا,Accuretta
كلنسكي,Clonsky
روتاغاندا,Rutaganda
موثرا,Mothra
ريفايفا,Reviva
سوسيلو,Susilo
تورييل,Turiel
باجوو,Bajju
سوسيلا,Susila
امونيت,Amunet
مسعود,Massud
مويلا,Mwela
راكيتا,Rakita
سوناندا,Sunanda
غاسبارد,Gaspard
نوسبوم,Nussbaum
نيرانجان,Niranjan
كاراديتش,Karadzić
زيدفيتز,Zedwitz
جابوا,Jhabua
لويمبا,Lwemba
ميخائيل,Mihail
دوينس,Douens
ارجيلان,Árgyelan
نيراماسوهوكو,Nyiaramasuhuko
موبشاتلا,Mopshatla
مورتز,Mortez
فوج,Fogg
بوديكومبي,Puddicombe
كوتيزيس,Cortezes
فوغ,Fogh
اراشي,Arashi
بادالبالي,Badalbayli
كاسييف,Kasiev
بريوتشي,Preoce
كوكوسينغ,Kokosing
انجلي,Anjali
مارومو,Marromeu
شمعون,Shimon
مارتلاند,Martland
ندومباسي,Ndombasi
كابيسترانو,Capistrano
هولدرا,Holdra
هاجين,Haagen
هويغن,Hoegen
ماينزا,Mainza
رادفي,Radvi
روبرتسون,Robertson
بالف,Balph
بورتلاند,Portland
فيشبوم,Fishbaum
روبينا,Rubina
هيكس,Hix
مونغكولنافين,Mongkolnavin
روبينو,Rubino
بدوي,Badawi
روبيني,Rubini
سمثس,Smiths
راسووا,Rasuwa
هيب,Hib
ويليزا,Walesa
فوميو,Fumio
نغونيا,Ngwenya
تودوروكي,Todoroki
ويتايا,Wittaya
هيو,Hio
هاجينو,Hagenau
دوهان,Doohan
فولكسون,Folkesson
الوك,Alok
ريكفورد,Rickford
سوهودول,Suhodol
الون,Alon
